num_particles,sigma,delta,num_successful_trials,mean_error,std_error,min_error,mean_runtime_sec
5000,0.05,0.02,2,0.010525070191721022,0.0035355645129582845,0.006989505678762738,13.508819937705994
1000,0.05,0.03,2,0.03226965756637443,0.00933230844264767,0.022937349123726754,11.851759433746338
5000,0.05,0.03,2,0.10308671524340705,0.0269538219159436,0.07613289332746345,14.551440954208374
1000,0.1,0.03,2,0.1292030125010523,0.08936493555536368,0.039838076945688625,11.374797940254211
2500,0.05,0.03,2,0.22268718997488396,0.2029301622043612,0.019757027770522767,11.687806487083435
5000,0.08,0.02,2,0.270151824165499,0.12037890887883325,0.14977291528666573,13.329187393188477
1000,0.1,0.02,2,0.3846117339272024,0.35075452788093575,0.033857206046266616,11.70722508430481
2500,0.1,0.02,2,0.46869181762818024,0.052810886128842216,0.415880931499338,10.708701014518738
1000,0.08,0.02,2,0.5124768247505944,0.29782053352547566,0.21465629122511876,11.948546051979065
5000,0.08,0.03,2,0.7231063626349477,0.14226539859745152,0.5808409640374961,13.822823524475098
2500,0.1,0.03,2,0.7476218842093221,0.1544586337573366,0.5931632504519855,12.34977412223816
5000,0.1,0.02,2,0.7835244530228924,0.18085627673743587,0.6026681762854565,14.679161548614502
2500,0.08,0.02,2,0.8294564757937714,0.7768034372372655,0.052653038556505875,11.469681024551392
2500,0.05,0.02,2,0.8609354339948299,0.8487949565543733,0.01214047744045652,11.109402537345886
1000,0.05,0.02,2,0.8866323362268655,0.8596032661817802,0.027029070045085337,11.35325539112091
2500,0.1,0.05,2,1.062729830827404,0.4003584599717213,0.6623713708556828,12.108561873435974
2500,0.08,0.05,2,1.106828993869283,0.5312406963412105,0.5755882975280724,11.783948421478271
5000,0.1,0.05,2,1.2082659610893958,0.4934464255746483,0.7148195355147474,14.066285967826843
2500,0.08,0.03,2,1.2577437671196272,0.4178083925588821,0.8399353745607451,10.956896781921387
1000,0.08,0.03,2,1.3006969574009792,0.5227718861595533,0.7779250712414258,12.79074513912201
1000,0.05,0.05,2,1.3532557494621043,0.5975622536842744,0.75569349577783,11.461909651756287
5000,0.1,0.03,2,1.419777593292471,0.23472723313926092,1.18505036015321,14.14185345172882
5000,0.08,0.05,2,1.575877873927594,0.752653581779994,0.8232242921476001,13.132304668426514
2500,0.05,0.05,2,1.5933670671123572,0.3612817441106272,1.2320853230017301,12.362089395523071
5000,0.05,0.05,2,1.6199782444637374,0.3811806253574229,1.2387976191063144,12.845837950706482
1000,0.1,0.05,2,2.18558776729531,0.2876558971819808,1.897931870113329,12.015902519226074
1000,0.08,0.05,2,2.6534858986223435,0.13687795357303756,2.516607945049306,12.14869737625122
