num_particles,sigma,delta,trial,est_x,est_y,est_theta,error,runtime_sec,status
1000,0.05,0.02,1,-0.3123616030089709,-0.28383968058750414,0.8822065889993843,0.027029070045085337,11.8086998462677,ok
1000,0.05,0.02,2,0.37186143260805715,-0.3612230280684598,-0.7106497866784893,1.7462356024086458,10.897810935974121,ok
1000,0.05,0.03,1,-0.2893713519140155,-0.29922458853323036,0.9402138552334556,0.04160196600902209,12.20848822593689,ok
1000,0.05,0.03,2,-0.2946628333206677,-0.2845890023078182,0.8838712124822626,0.022937349123726754,11.495030641555786,ok
1000,0.05,0.05,1,0.9477314667098637,-0.11440873914000944,2.3880903710038837,1.9508180031463787,11.900890111923218,ok
1000,0.05,0.05,2,0.11316179300795781,-0.9164138404028187,0.7571575353082465,0.75569349577783,11.022929191589355,ok
1000,0.08,0.02,1,-0.22103975876230963,-0.38504817734664953,0.719419239130461,0.21465629122511876,12.105274200439453,ok
1000,0.08,0.02,2,0.4190354789326312,-0.3907429266630833,0.5375975853751555,0.8102973582760701,11.791817903518677,ok
1000,0.08,0.03,1,0.8464469215359378,0.13559021551668735,-0.44942922885302977,1.8234688435605324,13.874244213104248,ok
1000,0.08,0.03,2,0.14458085207630872,-0.9383686035841057,0.9008991057556345,0.7779250712414258,11.70724606513977,ok
1000,0.08,0.05,1,0.7151345627726267,-0.002274302465484941,-1.3834571985428816,2.516607945049306,12.484815835952759,ok
1000,0.08,0.05,2,0.8382385795846021,0.13682973629340922,-1.6099249281748857,2.790363852195381,11.812578916549683,ok
1000,0.1,0.02,1,-0.3013161632505807,-0.29306998080883734,0.9331142408876797,0.033857206046266616,11.470840215682983,ok
1000,0.1,0.02,2,0.24734114799278276,-0.7400545676691591,1.118021063645528,0.7353662618081381,11.943609952926636,ok
1000,0.1,0.03,1,-0.18447496536522415,-0.3512781565839033,1.0783156329309986,0.21856794805641597,11.720188856124878,ok
1000,0.1,0.03,2,-0.2743982904806074,-0.2866527562170568,0.9274495159850575,0.039838076945688625,11.029407024383545,ok
1000,0.1,0.05,1,0.8493925443361258,-0.16320474089149484,2.404104125285827,1.897931870113329,12.68766188621521,ok
1000,0.1,0.05,2,0.5739945301358067,0.12425476302943438,-1.3744396411460527,2.4732436644772906,11.344143152236938,ok
