Seed,Iterations,Cost Improvement %,,,,,,,,,,,,,,,,,,,,
0,0,0,,Cost Improvement %,,,,,,,,,,,,,,,,,,
0,100,7.739499017,,,,Iteration,,,,,,,,,,,,,,,,
0,300,20.19518491,,,,0,100,300,,,,,,,,,,,,,,
1,0,0,,seed,0,0,7.739499017,20.19518491,,,,,,,,,,,,,,
1,100,1.175632906,,,1,0,1.175632906,23.59965825,,,,,,,,,,,,,,
1,300,23.59965825,,,2,0,11.23042248,9.279251252,,,,,,,,,,,,,,
2,0,0,,,3,0,7.272652176,37.26901997,,,,,,,,,,,,,,
2,100,11.23042248,,,4,0,25.08767498,11.76388389,,,,,,,,,,,,,,
2,300,9.279251252,,,5,0,11.65652984,26.31475723,,,,,,,,,,,,,,
3,0,0,,,,,,,,,,,,,,,,,,,,
3,100,7.272652176,,,,,,,,,,,,,,,,,,,,
3,300,37.26901997,,,,,,,,,,,,,,,,,,,,
4,0,0,,,,,Seed,,,,,,,,,,,,,,,
4,100,25.08767498,,,,,0,1,2,3,4,5,,,,,,,,,,
4,300,11.76388389,,,Iteration,0,0,0,0,0,0,0,,,,,,,,,,
5,0,0,,,,100,7.739499017,1.175632906,11.23042248,7.272652176,25.08767498,11.65652984,,,,,,,,,,
5,100,11.65652984,,,,300,20.19518491,23.59965825,9.279251252,37.26901997,11.76388389,26.31475723,,,,,,,,,,
5,300,26.31475723,,,,,,,,,,,,,,,,,,,,
